episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3794686_p204_feaf66b7,3794686,UEFA Euro,From Kick Off,Pass,00:00:00.278,"[61.0, 40.1]",Pass,00:00:04.075,"[36.2, 50.4]",3.797,4,1,Pass -> Ball Receipt* -> Carry -> Pass,Duel,00:00:07.003,"[86.8, 25.1]",Spain,Spain,ambiguous
3857282_p2_1f3805e0,3857282,FIFA World Cup,From Kick Off,Pass,00:00:00.472,"[60.0, 40.0]",Clearance,00:00:06.160,"[21.4, 22.4]",5.688,7,1,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Duel ... (+1 more),Pressure,00:00:10.250,"[65.9, 72.0]",United States,United States,ambiguous
4020005_p204_4f87c9d6,4020005,UEFA Women's Euro,From Kick Off,Pass,00:00:00.474,"[60.0, 40.0]",Pass,00:00:04.520,"[44.7, 38.5]",4.046,4,1,Pass -> Ball Receipt* -> Carry -> Pass,Duel,00:00:06.978,"[79.8, 35.5]",Italy Women's,Italy Women's,ambiguous
3869151_p121_381be3aa,3869151,FIFA World Cup,From Kick Off,Pass,00:31:46.821,"[61.0, 40.1]",Ball Recovery,00:31:50.067,"[66.7, 18.3]",3.246,4,1,Pass -> Ball Receipt* -> Miscontrol -> Ball Recovery,Pressure,00:31:51.329,"[53.7, 62.7]",Argentina,Argentina,ambiguous
3788774_p95_ea4f8779,3788774,UEFA Euro,From Kick Off,Pass,00:00:00.510,"[60.0, 40.0]",Pass,00:00:06.465,"[24.1, 60.2]",5.955,6,1,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Pass,Duel,00:00:08.814,"[85.3, 14.8]",Hungary,Hungary,ambiguous
3893790_p30_b52c6343,3893790,Women's World Cup,Other,Referee Ball-Drop,00:19:03.863,"[108.1, 39.2]",Pass,00:19:18.140,"[12.0, 40.9]",14.277,3,0,Referee Ball-Drop -> Ball Recovery -> Pass,Pressure,00:19:21.531,"[80.2, 74.5]",Canada Women's,Canada Women's,immediate_restart_phase
3788774_p88_097b602a,3788774,UEFA Euro,Other,Referee Ball-Drop,00:42:38.182,"[81.5, 24.3]",Pass,00:42:43.118,"[75.1, 50.6]",4.936,4,1,Referee Ball-Drop -> Pass -> Ball Receipt* -> Pass,Pressure,00:42:48.315,"[35.1, 7.9]",Hungary,Hungary,ambiguous
3893816_p57_790c5306,3893816,Women's World Cup,Other,Referee Ball-Drop,00:21:56.319,"[63.9, 76.3]",Ball Recovery,00:21:56.635,"[56.2, 3.8]",0.316,2,0,Referee Ball-Drop -> Ball Recovery,Pressure,00:21:58.564,"[57.8, 75.5]",Jamaica Women's,Jamaica Women's,immediate_restart_phase
3893831_p53_cdbcb986,3893831,Women's World Cup,Other,Referee Ball-Drop,00:28:05.675,"[19.3, 74.8]",Ball Recovery,00:28:06.460,"[97.8, 6.6]",0.785,2,0,Referee Ball-Drop -> Ball Recovery,Pass,00:28:08.901,"[21.4, 49.2]",Italy Women's,Italy Women's,immediate_restart_phase
3788742_p165_95adc7e8,3788742,UEFA Euro,Other,Referee Ball-Drop,00:43:27.794,"[115.9, 45.6]",Ball Recovery,00:43:28.985,"[4.2, 34.5]",1.191,2,0,Referee Ball-Drop -> Ball Recovery,Pressure,00:43:31.959,"[106.6, 42.4]",Denmark,Denmark,immediate_restart_phase
